record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name, degrade field,Evaluation pipelines
506571,gpt-5,3,4,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
524784,gpt-5,3,3,3,4,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
534868,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
534553,gpt-5,3,3,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
257040,gpt-5,2,2,4,2,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
195235,gpt-5,3,3,4,2,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
226773,gpt-5,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
640700,gpt-5,3,4,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
551252,gpt-5,2,2,4,2,0,1,0,1,1,1,0,Testing Prompt: 0.020562719870066637,,
208682,gpt-5,3,1,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
581720,gpt-5,4,4,3,4,1,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
600843,gpt-5,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
264344,gpt-5,4,4,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
215108,gpt-5,3,3,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
238271,gpt-5,3,2,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
291285,gpt-5,3,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
219176,gpt-5,4,4,3,4,0,1,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
225581,gpt-5,4,4,3,4,1,0,1,1,0,1,0,Testing Prompt: 0.020562719870066637,,
282284,gpt-5,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
580333,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
586617,gpt-5,3,3,4,3,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
717614,gpt-5,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
172253,gpt-5,2,4,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
576254,gpt-5,2,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
607920,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
525710,gpt-5,3,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
573597,gpt-5,3,3,1,3,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
238025,gpt-5,3,4,1,4,0,0,1,0,0,0,0,Testing Prompt: 0.020562719870066637,,
632387,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
253693,gpt-5,3,1,4,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
584423,gpt-5,2,2,4,1,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
561604,gpt-5,2,3,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.020562719870066637,,
257325,gpt-5,2,4,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
735055,gpt-5,2,4,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
248235,gpt-5,4,4,3,4,0,1,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
530371,gpt-5,3,2,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
641013,gpt-5,3,2,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
615578,gpt-5,4,4,3,4,1,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
590085,gpt-5,3,3,1,3,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
575601,gpt-5,4,4,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
225646,gpt-5,3,2,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.020562719870066637,,
242085,gpt-5,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
546868,gpt-5,2,3,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.020562719870066637,,
217052,gpt-5,2,1,3,1,0,1,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
601747,gpt-5,2,1,1,2,0,0,0,0,1,0,0,Testing Prompt: 0.020562719870066637,,
207845,gpt-5,2,4,3,2,1,0,0,1,1,1,0,Testing Prompt: 0.020562719870066637,,
505173,gpt-5,3,3,4,4,0,0,0,1,1,1,0,Testing Prompt: 0.020562719870066637,,
211283,gpt-5,2,4,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
190056,gpt-5,2,1,3,2,1,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
167524,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
207524,gpt-5,3,4,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.020562719870066637,,
545047,gpt-5,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
555531,gpt-5,2,3,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
244029,gpt-5,3,4,4,4,0,0,1,1,1,0,0,Testing Prompt: 0.020562719870066637,,
263413,gpt-5,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
184927,gpt-5,4,4,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
293411,gpt-5,2,1,3,2,1,1,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
248896,gpt-5,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
225577,gpt-5,2,3,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.020562719870066637,,
543229,gpt-5,3,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
529099,gpt-5,2,1,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
503131,gpt-5,2,4,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
266177,gpt-5,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
529141,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
557524,gpt-5,2,1,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
528543,gpt-5,4,4,3,4,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
704896,gpt-5,3,1,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.020562719870066637,,
216965,gpt-5,4,4,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
556668,gpt-5,3,1,4,3,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
242166,gpt-5,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
249730,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
630563,gpt-5,2,4,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
704786,gpt-5,3,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.020562719870066637,,
575601,gpt-5,3,4,3,2,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
600843,gpt-5,2,3,3,2,0,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
247781,gpt-5,2,4,4,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
184927,gpt-5,4,4,4,4,0,0,1,1,0,1,1,Testing Prompt: 0.5306754229826773,,
586617,gpt-5,3,2,4,3,0,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
585389,gpt-5,2,1,3,2,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
576254,gpt-5,2,3,1,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
528543,gpt-5,3,4,2,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
238025,gpt-5,3,4,2,4,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
231173,gpt-5,4,3,3,3,0,1,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
551252,gpt-5,2,2,3,2,0,1,0,1,1,1,1,Testing Prompt: 0.5306754229826773,,
242166,gpt-5,2,1,3,2,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
573597,gpt-5,3,4,1,3,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
511739,gpt-5,2,1,1,1,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
217400,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
584423,gpt-5,2,2,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
211179,gpt-5,2,1,1,2,0,0,0,1,0,0,1,Testing Prompt: 0.5306754229826773,,
615578,gpt-5,4,3,3,4,1,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
644531,gpt-5,3,3,3,3,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
190056,gpt-5,2,1,3,2,1,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
207845,gpt-5,2,4,3,2,1,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
195235,gpt-5,3,3,3,2,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
524784,gpt-5,4,3,3,4,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
534553,gpt-5,3,4,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
546578,gpt-5,3,2,1,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
226773,gpt-5,3,3,4,4,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
219176,gpt-5,4,4,3,4,0,1,1,1,1,0,1,Testing Prompt: 0.5306754229826773,,
534868,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
248235,gpt-5,4,4,4,4,0,1,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
543229,gpt-5,3,3,3,3,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
506571,gpt-5,3,4,3,3,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
248896,gpt-5,2,4,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
211283,gpt-5,3,4,4,4,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
704896,gpt-5,3,1,1,2,0,0,0,1,0,0,1,Testing Prompt: 0.5306754229826773,,
564167,gpt-5,3,4,1,3,1,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
628747,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
218810,gpt-5,2,1,3,2,0,0,1,1,0,1,1,Testing Prompt: 0.5306754229826773,,
253693,gpt-5,4,2,4,3,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
215179,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
293411,gpt-5,2,1,3,2,1,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
264344,gpt-5,3,4,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
264262,gpt-5,2,1,1,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
735055,gpt-5,4,4,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
208682,gpt-5,2,1,3,3,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
167524,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
512243,gpt-5,2,2,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
555531,gpt-5,2,3,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
263413,gpt-5,4,4,3,4,0,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
225577,gpt-5,2,3,4,3,0,0,0,0,1,0,1,Testing Prompt: 0.5306754229826773,,
558582,gpt-5,1,1,3,2,0,0,0,0,1,0,1,Testing Prompt: 0.5306754229826773,,
550903,gpt-5,3,3,4,4,1,1,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
263864,gpt-5,3,3,1,4,0,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
264478,gpt-5,2,2,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
546868,gpt-5,2,3,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
706907,gpt-5,2,3,2,2,0,0,1,0,1,0,1,Testing Prompt: 0.5306754229826773,,
590085,gpt-5,3,4,1,4,0,0,1,1,1,0,1,Testing Prompt: 0.5306754229826773,,
525710,gpt-5,4,4,3,4,0,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
530371,gpt-5,4,4,1,4,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
529099,gpt-5,3,2,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
282284,gpt-5,2,1,3,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
643006,gpt-5,3,3,3,4,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
244029,gpt-5,3,4,4,3,0,0,1,1,1,0,1,Testing Prompt: 0.5306754229826773,,
503131,gpt-5,2,4,1,1,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
557524,gpt-5,2,1,2,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
188529,gpt-5,3,1,1,2,0,0,1,0,1,0,1,Testing Prompt: 0.5306754229826773,,
543094,gpt-5,3,4,4,2,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
561983,gpt-5,4,4,1,4,1,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
640700,gpt-5,3,3,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
172253,gpt-5,2,3,4,1,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
249730,gpt-5,2,1,3,1,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
216965,gpt-5,2,3,2,3,0,1,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
200051,gpt-5,4,3,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
641013,gpt-5,3,2,3,2,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
545047,gpt-5,2,3,4,2,0,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
232366,gpt-5,3,3,1,3,0,0,1,0,0,0,1,Testing Prompt: 0.5306754229826773,,
217052,gpt-5,2,1,3,1,0,1,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
247482,gpt-5,4,4,4,3,0,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
505194,gpt-5,3,2,3,3,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
266177,gpt-5,2,1,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
225646,gpt-5,3,2,3,3,0,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
630563,gpt-5,2,4,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
580333,gpt-5,2,1,1,2,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
613126,gpt-5,4,4,3,3,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
614816,gpt-5,2,1,4,3,0,0,0,0,1,0,1,Testing Prompt: 0.5306754229826773,,
248731,gpt-5,2,3,4,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
274347,gpt-5,4,4,4,4,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
291285,gpt-5,4,4,3,3,0,0,0,1,0,1,1,Testing Prompt: 0.5306754229826773,,
601747,gpt-5,1,1,1,2,0,0,0,0,1,0,1,Testing Prompt: 0.5306754229826773,,
238271,gpt-5,3,1,4,3,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
704786,gpt-5,3,4,1,3,0,0,1,1,1,0,1,Testing Prompt: 0.5306754229826773,,
581720,gpt-5,4,4,3,3,1,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
174997,gpt-5,2,1,3,3,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
591948,gpt-5,3,3,4,2,0,0,0,0,1,1,1,Testing Prompt: 0.5306754229826773,,
601728,gpt-5,2,4,1,3,0,0,0,0,1,0,1,Testing Prompt: 0.5306754229826773,,
240687,gpt-5,2,4,3,3,0,0,1,0,1,0,1,Testing Prompt: 0.5306754229826773,,
556668,gpt-5,3,1,4,2,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
257325,gpt-5,4,4,4,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
529141,gpt-5,2,1,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
613961,gpt-5,4,3,3,4,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
703584,gpt-5,3,1,1,2,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
607920,gpt-5,2,1,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
215108,gpt-5,4,3,4,4,0,0,1,0,1,1,1,Testing Prompt: 0.5306754229826773,,
207524,gpt-5,3,4,3,3,0,0,1,0,1,0,1,Testing Prompt: 0.5306754229826773,,
717614,gpt-5,2,2,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
632387,gpt-5,2,2,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
242085,gpt-5,3,2,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.5306754229826773,,
700128,gpt-5,2,3,4,2,0,0,0,0,0,1,1,Testing Prompt: 0.5306754229826773,,
225581,gpt-5,4,4,3,4,1,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
561604,gpt-5,2,3,1,3,0,0,0,1,0,0,1,Testing Prompt: 0.5306754229826773,,
588075,gpt-5,2,2,3,2,0,0,0,0,0,0,1,Testing Prompt: 0.5306754229826773,,
600997,gpt-5,4,4,1,4,0,0,1,1,1,1,1,Testing Prompt: 0.5306754229826773,,
505173,gpt-5,3,3,4,4,0,0,0,1,1,1,1,Testing Prompt: 0.5306754229826773,,
257040,gpt-5,3,3,3,2,0,0,1,0,0,1,1,Testing Prompt: 0.5306754229826773,,
244029,gpt-5,3,4,4,4,0,0,1,1,0,0,2,Testing Prompt: 0.4443003053932798,,
240687,gpt-5,2,3,1,2,0,0,1,0,1,0,2,Testing Prompt: 0.4443003053932798,,
735055,gpt-5,3,4,3,3,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
601747,gpt-5,2,1,1,2,0,0,0,0,1,0,2,Testing Prompt: 0.4443003053932798,,
211179,gpt-5,2,1,1,3,0,0,0,1,0,0,2,Testing Prompt: 0.4443003053932798,,
512243,gpt-5,2,2,4,2,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
238025,gpt-5,3,4,1,4,0,0,1,0,0,0,2,Testing Prompt: 0.4443003053932798,,
505194,gpt-5,2,2,3,3,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
546868,gpt-5,2,4,3,3,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
257040,gpt-5,2,2,4,3,0,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
242085,gpt-5,3,2,1,3,0,0,1,1,0,0,2,Testing Prompt: 0.4443003053932798,,
264262,gpt-5,2,1,1,2,0,0,0,0,0,0,2,Testing Prompt: 0.4443003053932798,,
253693,gpt-5,3,2,4,3,0,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
217400,gpt-5,2,1,3,2,0,0,0,0,0,0,2,Testing Prompt: 0.4443003053932798,,
564167,gpt-5,3,3,1,3,1,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
530371,gpt-5,3,3,3,4,0,0,1,1,0,0,2,Testing Prompt: 0.4443003053932798,,
167524,gpt-5,2,1,3,2,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
556668,gpt-5,2,1,4,2,0,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
247482,gpt-5,2,4,4,3,0,0,1,1,1,0,2,Testing Prompt: 0.4443003053932798,,
216965,gpt-5,3,4,1,4,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
573597,gpt-5,4,4,1,4,0,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
643006,gpt-5,4,3,3,4,0,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
511739,gpt-5,2,1,1,1,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
706907,gpt-5,2,2,3,3,0,0,1,0,1,0,2,Testing Prompt: 0.4443003053932798,,
528543,gpt-5,3,3,3,3,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
529141,gpt-5,2,1,3,2,0,0,0,0,0,0,2,Testing Prompt: 0.4443003053932798,,
576254,gpt-5,2,3,1,2,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
195235,gpt-5,4,3,3,3,0,0,1,0,0,1,2,Testing Prompt: 0.4443003053932798,,
607920,gpt-5,2,1,3,3,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
581720,gpt-5,4,4,4,4,1,0,1,0,1,1,2,Testing Prompt: 0.4443003053932798,,
555531,gpt-5,3,3,4,3,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
591948,gpt-5,3,3,3,2,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
551252,gpt-5,4,4,4,4,0,0,1,1,1,1,2,Testing Prompt: 0.4443003053932798,,
282284,gpt-5,2,1,3,2,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
225646,gpt-5,3,3,3,3,0,0,0,1,0,1,2,Testing Prompt: 0.4443003053932798,,
225581,gpt-5,4,4,4,4,1,0,1,1,1,1,2,Testing Prompt: 0.4443003053932798,,
247781,gpt-5,3,4,4,4,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
231173,gpt-5,4,4,4,4,0,0,1,0,0,1,2,Testing Prompt: 0.4443003053932798,,
614816,gpt-5,2,1,4,3,0,0,0,0,1,1,2,Testing Prompt: 0.4443003053932798,,
248235,gpt-5,4,3,3,4,0,1,1,0,0,0,2,Testing Prompt: 0.4443003053932798,,
249730,gpt-5,2,1,3,2,0,0,0,0,0,0,2,Testing Prompt: 0.4443003053932798,,
600843,gpt-5,2,3,3,2,0,0,0,0,0,1,2,Testing Prompt: 0.4443003053932798,,
248896,gpt-5,3,4,3,3,0,0,1,0,0,0,2,Testing Prompt: 0.4443003053932798,,
